Clover ID,Name,Alternate Name,Price,Price Type,Price Unit,Tax Rates,Cost,Product Code,SKU,Modifier Groups,Quantity,Labels,Hidden,Non-revenue item
,,,,,,,,,,Temperature,,,,
,,,,,,,,,,Sides Mods,,,,
,,,,,,,,,,TOGO / OTHER Mods,,,,
,,,,,,,,,,Sides,,,,
,,,,,,,,,,Add Cheese Mod,,,,
2MJNP48XDJJHG,Bacon Cheeseburger,,10.99,Fixed,,Pleasant Hill Tax Rate,0.00,,,Sandwich/Burger Mods,,Food,No,No
,,,,,,,,,,Additions,,,,
,,,,,,,,,,Temperature,,,,
,,,,,,,,,,Sides Mods,,,,
,,,,,,,,,,TOGO / OTHER Mods,,,,
,,,,,,,,,,Cheese,,,,
,,,,,,,,,,Sides,,,,
KC53NB6RN1NWC,Swiss Mushroom Burger,,11.99,Fixed,,Pleasant Hill Tax Rate,0.00,,,Sandwich/Burger Mods,,Food,No,No
,,,,,,,,,,Additions,,,,
,,,,,,,,,,Temperature,,,,
,,,,,,,,,,Sides Mods,,,,
,,,,,,,,,,TOGO / OTHER Mods,,,,
,,,,,,,,,,Cheese,,,,
,,,,,,,,,,Sides,,,,
Y12CX5E7JQ866,Patty Melt,,11.99,Fixed,,Pleasant Hill Tax Rate,0.00,,,Sandwich/Burger Mods,,Food,No,No
,,,,,,,,,,Additions,,,,
,,,,,,,,,,Temperature,,,,
,,,,,,,,,,Sides Mods,,,,
,,,,,,,,,,TOGO / OTHER Mods,,,,
,,,,,,,,,,Cheese,,,,
,,,,,,,,,,Sides,,,,
5KTJRY7NR52M2,Regular Cut,,12.99,Fixed,,Pleasant Hill Tax Rate,0.00,,,TOGO / OTHER Mods,,Food,No,No
,,,,,,,,,,Prime Rib Mods,,,,
YD4F6K668S5KW,Cowboy Cut,,16.99,Fixed,,Pleasant Hill Tax Rate,0.00,,,TOGO / OTHER Mods,,Food,No,No
,,,,,,,,,,Prime Rib Mods,,,,
JK7Q8QHX3SF0C,Fish & Chips,,11.99,Fixed,,Pleasant Hill Tax Rate,0.00,,,Additions,,Food,No,No
,,,,,,,,,,TOGO / OTHER Mods,,,,
,,,,,,,,,,Entree Mods,,,,
,,,,,,,,,,Sides,,,,
3WZDVD6BBA9DT,Fish Tacos,,11.99,Fixed,,Pleasant Hill Tax Rate,0.00,,,Additions,,Food,No,No
,,,,,,,,,,Taco Mods,,,,
,,,,,,,,,,TOGO / OTHER Mods,,,,
,,,,,,,,,,Entree Mods,,,,
KKHA4CFQQ3ZGP,Magoo's Famous Tri-Tip Dinner,,17.99,Fixed,,Pleasant Hill Tax Rate,0.00,,,Streak Night Mods,,Food,No,No
,,,,,,,,,,Additions,,,,
,,,,,,,,,,Temperature,,,,
,,,,,,,,,,TOGO / OTHER Mods,,,,
,,,,,,,,,,Entree Mods,,,,
WMPZ6P6NRE26R,Salmon Dinner,,17.99,Fixed,,Pleasant Hill Tax Rate,0.00,,,Additions,,Food,No,No
,,,,,,,,,,TOGO / OTHER Mods,,,,
,,,,,,,,,,Entree Mods,,,,
XZXF5GJD3YGET,Honey Cilantro Chicken,,11.99,Fixed,,DEFAULT,0.00,,,Additions,,Food,No,No
,,,,,,,,,,TOGO / OTHER Mods,,,,
,,,,,,,,,,Entree Mods,,,,
XYWK5XG6QAG6A,Cheese Fries,,7.49,Fixed,,Pleasant Hill Tax Rate,0.00,,,Additions,,Food,No,No
,,,,,,,,,,TOGO / OTHER Mods,,,,
EN4PJKEK96HTC,Garlic Fries,,6.25,Fixed,,Pleasant Hill Tax Rate,0.00,,,TOGO / OTHER Mods,,Food,No,No
KB06ZN2FDK2G6,Garlic Cheese Fries,,7.25,Fixed,,Pleasant Hill Tax Rate,0.00,,,Additions,,Food,No,No
,,,,,,,,,,TOGO / OTHER Mods,,,,
5SRZ8Y5Z4RZN0,Lemon Pepper Fries,,7.25,Fixed,,Pleasant Hill Tax Rate,0.00,,,TOGO / OTHER Mods,,Food,No,No
29MJTGP1A72DE,Cajun Fries,,6.25,Fixed,,Pleasant Hill Tax Rate,0.00,,,TOGO / OTHER Mods,,Food,No,No
5STGZBYGQPGR0,Jalapeño Bites,,6.99,Fixed,,Pleasant Hill Tax Rate,0.00,,,TOGO / OTHER Mods,,Food,No,No
S90ZDNB9Z4MTM,Mozzarella Sticks,,8.99,Fixed,,Pleasant Hill Tax Rate,0.00,,,TOGO / OTHER Mods,,Food,No,No
1Z323YD2DS4MP,Fried Green Beans,,8.99,Fixed,,Pleasant Hill Tax Rate,0.00,,,TOGO / OTHER Mods,,Food,No,No
YFV37Q07R4Z42,Mac & Cheese Bites,,7.99,Fixed,,Pleasant Hill Tax Rate,0.00,,,TOGO / OTHER Mods,,Food,No,No
1XCBVQD0MJ8TC,Onion Rings,,6.99,Fixed,,Pleasant Hill Tax Rate,0.00,,,TOGO / OTHER Mods,,Food,No,No
NP69V535HTK66,Nacho Fries,,11.99,Fixed,,Pleasant Hill Tax Rate,0.00,,,Additions,,Food,No,No
,,,,,,,,,,TOGO / OTHER Mods,,,,
,,,,,,,,,,Protein Mods,,,,
,,,,,,,,,,App Mods,,,,
E6QRZ4A6JTAD4,Loaded Tater Tots,,7.99,Fixed,,Pleasant Hill Tax Rate,0.00,,,Additions,,Food,No,No
,,,,,,,,,,TOGO / OTHER Mods,,,,
,,,,,,,,,,Protein Mods,,,,
,,,,,,,,,,App Mods,,,,
9A55YS14V6KVM,Chili - Bowl,,6.99,Fixed,,Pleasant Hill Tax Rate,0.00,,,TOGO / OTHER Mods,,Food,No,No
3CYMF8VWCX174,Chili - Cup,,3.99,Fixed,,Pleasant Hill Tax Rate,0.00,,,TOGO / OTHER Mods,,Food,No,No
HHWZXGCGQ1484,Clam Chowder - Bowl,,7.25,Fixed,,Pleasant Hill Tax Rate,0.00,,,TOGO / OTHER Mods,,Food,No,No
M0XHB59D80M6J,Clam Chowder - Cup,,3.99,Fixed,,Pleasant Hill Tax Rate,0.00,,,TOGO / OTHER Mods,,Food,No,No
